horodatage,noeud,anomalies_cumul,connecte,flux_etat,resync_serveur
2026-08-16 10:42:24,pcpBunker,0,oui,playing,0
2026-08-16 10:42:24,pcpDJ,0,oui,playing,0
2026-08-16 10:42:24,pcpKitchen,0,oui,playing,0
2026-08-16 10:42:24,pcpSystem,0,oui,playing,0
2026-08-16 10:42:24,pcpLobby,0,oui,playing,0
2026-08-16 10:47:24,pcpBunker,1,oui,idle,1
2026-08-16 10:47:24,pcpDJ,1,oui,idle,1
2026-08-16 10:47:24,pcpKitchen,1,oui,idle,1
2026-08-16 10:47:24,pcpSystem,1,oui,idle,1
2026-08-16 10:47:24,pcpLobby,1,oui,idle,1
2026-08-16 10:52:25,pcpBunker,1,oui,idle,1
2026-08-16 10:52:25,pcpDJ,1,oui,idle,1
2026-08-16 10:52:25,pcpKitchen,1,oui,idle,1
2026-08-16 10:52:25,pcpSystem,1,oui,idle,1
2026-08-16 10:52:25,pcpLobby,1,oui,idle,1
2026-08-16 10:57:26,pcpBunker,1,oui,playing,1
2026-08-16 10:57:26,pcpDJ,1,oui,playing,1
2026-08-16 10:57:26,pcpKitchen,1,oui,playing,1
2026-08-16 10:57:26,pcpSystem,1,oui,playing,1
2026-08-16 10:57:26,pcpLobby,1,oui,playing,1
2026-08-16 11:02:27,pcpBunker,1,oui,playing,0
2026-08-16 11:02:27,pcpDJ,1,oui,playing,0
2026-08-16 11:02:27,pcpKitchen,1,oui,playing,0
2026-08-16 11:02:27,pcpSystem,1,oui,playing,0
2026-08-16 11:02:27,pcpLobby,1,oui,playing,0
2026-08-16 11:07:28,pcpBunker,1,oui,playing,0
2026-08-16 11:07:28,pcpDJ,1,oui,playing,0
2026-08-16 11:07:28,pcpKitchen,1,oui,playing,0
2026-08-16 11:07:28,pcpSystem,1,oui,playing,0
2026-08-16 11:07:28,pcpLobby,1,oui,playing,0
2026-08-16 11:12:29,pcpBunker,1,oui,playing,0
2026-08-16 11:12:29,pcpDJ,1,oui,playing,0
2026-08-16 11:12:29,pcpKitchen,1,oui,playing,0
2026-08-16 11:12:29,pcpSystem,1,oui,playing,0
2026-08-16 11:12:29,pcpLobby,1,oui,playing,0
2026-08-16 11:17:30,pcpBunker,1,oui,playing,0
2026-08-16 11:17:30,pcpDJ,1,oui,playing,0
2026-08-16 11:17:30,pcpKitchen,1,oui,playing,0
2026-08-16 11:17:30,pcpSystem,1,oui,playing,0
2026-08-16 11:17:30,pcpLobby,1,oui,playing,0
2026-08-16 11:22:31,pcpBunker,1,oui,idle,0
2026-08-16 11:22:31,pcpDJ,1,oui,idle,0
2026-08-16 11:22:31,pcpKitchen,1,oui,idle,0
2026-08-16 11:22:31,pcpSystem,1,oui,idle,0
2026-08-16 11:22:31,pcpLobby,1,oui,idle,0
2026-08-16 11:27:32,pcpBunker,1,oui,idle,0
2026-08-16 11:27:32,pcpDJ,1,oui,idle,0
2026-08-16 11:27:32,pcpKitchen,1,oui,idle,0
2026-08-16 11:27:32,pcpSystem,1,oui,idle,0
2026-08-16 11:27:32,pcpLobby,1,oui,idle,0
2026-08-16 11:32:32,pcpBunker,1,oui,idle,0
2026-08-16 11:32:32,pcpDJ,1,oui,idle,0
2026-08-16 11:32:32,pcpKitchen,1,oui,idle,0
2026-08-16 11:32:32,pcpSystem,1,oui,idle,0
2026-08-16 11:32:32,pcpLobby,1,oui,idle,0
2026-08-16 11:37:33,pcpBunker,1,oui,playing,0
2026-08-16 11:37:33,pcpDJ,1,oui,playing,0
2026-08-16 11:37:33,pcpKitchen,1,oui,playing,0
2026-08-16 11:37:33,pcpSystem,1,oui,playing,0
2026-08-16 11:37:33,pcpLobby,1,oui,playing,0
2026-08-16 11:42:34,pcpBunker,2,oui,playing,1
2026-08-16 11:42:34,pcpDJ,2,oui,playing,1
2026-08-16 11:42:34,pcpKitchen,2,oui,playing,1
2026-08-16 11:42:34,pcpSystem,2,oui,playing,1
2026-08-16 11:42:34,pcpLobby,2,oui,playing,1
2026-08-16 11:47:35,pcpBunker,2,oui,playing,1
2026-08-16 11:47:35,pcpDJ,2,oui,playing,1
2026-08-16 11:47:35,pcpKitchen,2,oui,playing,1
2026-08-16 11:47:35,pcpSystem,2,oui,playing,1
2026-08-16 11:47:35,pcpLobby,2,oui,playing,1
2026-08-16 11:52:36,pcpBunker,2,oui,playing,1
2026-08-16 11:52:36,pcpDJ,2,oui,playing,1
2026-08-16 11:52:36,pcpKitchen,2,oui,playing,1
2026-08-16 11:52:36,pcpSystem,2,oui,playing,1
2026-08-16 11:52:36,pcpLobby,2,oui,playing,1
2026-08-16 11:57:37,pcpBunker,2,oui,playing,0
2026-08-16 11:57:37,pcpDJ,2,oui,playing,0
2026-08-16 11:57:37,pcpKitchen,2,oui,playing,0
2026-08-16 11:57:37,pcpSystem,2,oui,playing,0
2026-08-16 11:57:37,pcpLobby,2,oui,playing,0
2026-08-16 12:02:38,pcpBunker,2,oui,playing,0
2026-08-16 12:02:38,pcpDJ,2,oui,playing,0
2026-08-16 12:02:38,pcpKitchen,2,oui,playing,0
2026-08-16 12:02:38,pcpSystem,2,oui,playing,0
2026-08-16 12:02:38,pcpLobby,2,oui,playing,0
2026-08-16 12:07:39,pcpBunker,2,oui,idle,0
2026-08-16 12:07:39,pcpDJ,2,oui,idle,0
2026-08-16 12:07:39,pcpKitchen,2,oui,idle,0
2026-08-16 12:07:39,pcpSystem,2,oui,idle,0
2026-08-16 12:07:39,pcpLobby,2,oui,idle,0
2026-08-16 12:12:40,pcpBunker,2,oui,playing,0
2026-08-16 12:12:40,pcpDJ,2,oui,playing,0
2026-08-16 12:12:40,pcpKitchen,2,oui,playing,0
2026-08-16 12:12:40,pcpSystem,2,oui,playing,0
2026-08-16 12:12:40,pcpLobby,2,oui,playing,0
2026-08-16 12:17:41,pcpBunker,2,oui,playing,0
2026-08-16 12:17:41,pcpDJ,2,oui,playing,0
2026-08-16 12:17:41,pcpKitchen,2,oui,playing,0
2026-08-16 12:17:41,pcpSystem,2,oui,playing,0
2026-08-16 12:17:41,pcpLobby,2,oui,playing,0
2026-08-16 12:22:42,pcpBunker,2,oui,playing,0
2026-08-16 12:22:42,pcpDJ,2,oui,playing,0
2026-08-16 12:22:42,pcpKitchen,2,oui,playing,0
2026-08-16 12:22:42,pcpSystem,2,oui,playing,0
2026-08-16 12:22:42,pcpLobby,2,oui,playing,0
2026-08-16 12:27:42,pcpBunker,2,oui,playing,0
2026-08-16 12:27:42,pcpDJ,2,oui,playing,0
2026-08-16 12:27:42,pcpKitchen,2,oui,playing,0
2026-08-16 12:27:42,pcpSystem,2,oui,playing,0
2026-08-16 12:27:42,pcpLobby,2,oui,playing,0
2026-08-16 12:32:43,pcpBunker,2,oui,playing,0
2026-08-16 12:32:43,pcpDJ,2,oui,playing,0
2026-08-16 12:32:43,pcpKitchen,2,oui,playing,0
2026-08-16 12:32:43,pcpSystem,2,oui,playing,0
2026-08-16 12:32:43,pcpLobby,2,oui,playing,0
2026-08-16 12:37:44,pcpBunker,2,oui,playing,0
2026-08-16 12:37:44,pcpDJ,2,oui,playing,0
2026-08-16 12:37:44,pcpKitchen,2,oui,playing,0
2026-08-16 12:37:44,pcpSystem,2,oui,playing,0
2026-08-16 12:37:44,pcpLobby,2,oui,playing,0
2026-08-16 12:42:45,pcpBunker,2,oui,playing,0
2026-08-16 12:42:45,pcpDJ,2,oui,playing,0
2026-08-16 12:42:45,pcpKitchen,2,oui,playing,0
2026-08-16 12:42:45,pcpSystem,2,oui,playing,0
2026-08-16 12:42:45,pcpLobby,2,oui,playing,0
2026-08-16 12:47:46,pcpBunker,2,oui,playing,0
2026-08-16 12:47:46,pcpDJ,2,oui,playing,0
2026-08-16 12:47:46,pcpKitchen,2,oui,playing,0
2026-08-16 12:47:46,pcpSystem,2,oui,playing,0
2026-08-16 12:47:46,pcpLobby,2,oui,playing,0
2026-08-16 12:52:47,pcpBunker,2,oui,idle,0
2026-08-16 12:52:47,pcpDJ,2,oui,idle,0
2026-08-16 12:52:47,pcpKitchen,2,oui,idle,0
2026-08-16 12:52:47,pcpSystem,2,oui,idle,0
2026-08-16 12:52:47,pcpLobby,2,oui,idle,0
2026-08-16 12:57:48,pcpBunker,2,oui,playing,0
2026-08-16 12:57:48,pcpDJ,2,oui,playing,0
2026-08-16 12:57:48,pcpKitchen,2,oui,playing,0
2026-08-16 12:57:48,pcpSystem,2,oui,playing,0
2026-08-16 12:57:48,pcpLobby,2,oui,playing,0
2026-08-16 13:02:49,pcpBunker,2,oui,idle,0
2026-08-16 13:02:49,pcpDJ,2,oui,idle,0
2026-08-16 13:02:49,pcpKitchen,2,oui,idle,0
2026-08-16 13:02:49,pcpSystem,2,oui,idle,0
2026-08-16 13:02:49,pcpLobby,2,oui,idle,0
2026-08-16 13:07:50,pcpBunker,2,oui,idle,0
2026-08-16 13:07:50,pcpDJ,2,oui,idle,0
2026-08-16 13:07:50,pcpKitchen,2,oui,idle,0
2026-08-16 13:07:50,pcpSystem,2,oui,idle,0
2026-08-16 13:07:50,pcpLobby,2,oui,idle,0
