horodatage,noeud,anomalies,connecte,flux_etat,resync_srv,fastfwd_srv
2026-08-16 13:09:39,pcpBunker,0,oui,idle,0,0
2026-08-16 13:09:39,pcpDJ,0,oui,idle,0,0
2026-08-16 13:09:39,pcpKitchen,0,oui,idle,0,0
2026-08-16 13:09:39,pcpSystem,0,oui,idle,0,0
2026-08-16 13:09:39,pcpLobby,0,oui,idle,0,0
2026-08-16 13:14:40,pcpBunker,0,oui,idle,0,0
2026-08-16 13:14:40,pcpDJ,0,oui,idle,0,0
2026-08-16 13:14:40,pcpKitchen,0,oui,idle,0,0
2026-08-16 13:14:40,pcpSystem,0,oui,idle,0,0
2026-08-16 13:14:40,pcpLobby,0,oui,idle,0,0
2026-08-16 13:19:41,pcpBunker,0,oui,playing,0,0
2026-08-16 13:19:41,pcpDJ,0,oui,playing,0,0
2026-08-16 13:19:41,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:19:41,pcpSystem,0,oui,playing,0,0
2026-08-16 13:19:41,pcpLobby,0,oui,playing,0,0
2026-08-16 13:24:42,pcpBunker,0,oui,playing,0,0
2026-08-16 13:24:42,pcpDJ,0,oui,playing,0,0
2026-08-16 13:24:42,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:24:42,pcpSystem,0,oui,playing,0,0
2026-08-16 13:24:42,pcpLobby,0,oui,playing,0,0
2026-08-16 13:29:43,pcpBunker,0,oui,idle,0,0
2026-08-16 13:29:43,pcpDJ,0,oui,idle,0,0
2026-08-16 13:29:43,pcpKitchen,0,oui,idle,0,0
2026-08-16 13:29:43,pcpSystem,0,oui,idle,0,0
2026-08-16 13:29:43,pcpLobby,0,oui,idle,0,0
2026-08-16 13:34:44,pcpBunker,0,oui,playing,0,0
2026-08-16 13:34:44,pcpDJ,0,oui,playing,0,0
2026-08-16 13:34:44,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:34:44,pcpSystem,0,oui,playing,0,0
2026-08-16 13:34:44,pcpLobby,0,oui,playing,0,0
2026-08-16 13:39:45,pcpBunker,0,oui,playing,0,0
2026-08-16 13:39:45,pcpDJ,0,oui,playing,0,0
2026-08-16 13:39:45,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:39:45,pcpSystem,0,oui,playing,0,0
2026-08-16 13:39:45,pcpLobby,0,oui,playing,0,0
2026-08-16 13:44:46,pcpBunker,0,oui,playing,0,0
2026-08-16 13:44:46,pcpDJ,0,oui,playing,0,0
2026-08-16 13:44:46,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:44:46,pcpSystem,0,oui,playing,0,0
2026-08-16 13:44:46,pcpLobby,0,oui,playing,0,0
2026-08-16 13:49:47,pcpBunker,0,oui,playing,0,0
2026-08-16 13:49:47,pcpDJ,0,oui,playing,0,0
2026-08-16 13:49:47,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:49:47,pcpSystem,0,oui,playing,0,0
2026-08-16 13:49:47,pcpLobby,0,oui,playing,0,0
2026-08-16 13:54:48,pcpBunker,0,oui,playing,0,0
2026-08-16 13:54:48,pcpDJ,0,oui,playing,0,0
2026-08-16 13:54:48,pcpKitchen,0,oui,playing,0,0
2026-08-16 13:54:48,pcpSystem,0,oui,playing,0,0
2026-08-16 13:54:48,pcpLobby,0,oui,playing,0,0
2026-08-16 13:59:49,pcpBunker,0,oui,playing,0,1
2026-08-16 13:59:49,pcpDJ,0,oui,playing,0,1
2026-08-16 13:59:49,pcpKitchen,0,oui,playing,0,1
2026-08-16 13:59:49,pcpSystem,0,oui,playing,0,1
2026-08-16 13:59:49,pcpLobby,0,oui,playing,0,1
2026-08-16 14:04:49,pcpBunker,0,oui,playing,0,1
2026-08-16 14:04:49,pcpDJ,0,oui,playing,0,1
2026-08-16 14:04:49,pcpKitchen,0,oui,playing,0,1
2026-08-16 14:04:49,pcpSystem,0,oui,playing,0,1
2026-08-16 14:04:49,pcpLobby,0,oui,playing,0,1
2026-08-16 14:09:50,pcpBunker,0,oui,idle,0,1
2026-08-16 14:09:50,pcpDJ,0,oui,idle,0,1
2026-08-16 14:09:50,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:09:50,pcpSystem,0,oui,idle,0,1
2026-08-16 14:09:50,pcpLobby,0,oui,idle,0,1
2026-08-16 14:14:51,pcpBunker,0,oui,idle,0,1
2026-08-16 14:14:51,pcpDJ,0,oui,idle,0,1
2026-08-16 14:14:51,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:14:51,pcpSystem,0,oui,idle,0,1
2026-08-16 14:14:51,pcpLobby,0,oui,idle,0,1
2026-08-16 14:19:52,pcpBunker,0,oui,playing,0,1
2026-08-16 14:19:52,pcpDJ,0,oui,playing,0,1
2026-08-16 14:19:52,pcpKitchen,0,oui,playing,0,1
2026-08-16 14:19:52,pcpSystem,0,oui,playing,0,1
2026-08-16 14:19:52,pcpLobby,0,oui,playing,0,1
2026-08-16 14:24:53,pcpBunker,0,oui,playing,0,1
2026-08-16 14:24:53,pcpDJ,0,oui,playing,0,1
2026-08-16 14:24:53,pcpKitchen,0,oui,playing,0,1
2026-08-16 14:24:53,pcpSystem,0,oui,playing,0,1
2026-08-16 14:24:53,pcpLobby,0,oui,playing,0,1
2026-08-16 14:29:54,pcpBunker,0,oui,idle,0,1
2026-08-16 14:29:54,pcpDJ,0,oui,idle,0,1
2026-08-16 14:29:54,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:29:54,pcpSystem,0,oui,idle,0,1
2026-08-16 14:29:54,pcpLobby,0,oui,idle,0,1
2026-08-16 14:34:55,pcpBunker,0,oui,idle,0,1
2026-08-16 14:34:55,pcpDJ,0,oui,idle,0,1
2026-08-16 14:34:55,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:34:55,pcpSystem,0,oui,idle,0,1
2026-08-16 14:34:55,pcpLobby,0,oui,idle,0,1
2026-08-16 14:39:56,pcpBunker,0,oui,idle,0,1
2026-08-16 14:39:56,pcpDJ,0,oui,idle,0,1
2026-08-16 14:39:56,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:39:56,pcpSystem,0,oui,idle,0,1
2026-08-16 14:39:56,pcpLobby,0,oui,idle,0,1
2026-08-16 14:44:57,pcpBunker,0,oui,idle,0,1
2026-08-16 14:44:57,pcpDJ,0,oui,idle,0,1
2026-08-16 14:44:57,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:44:57,pcpSystem,0,oui,idle,0,1
2026-08-16 14:44:57,pcpLobby,0,oui,idle,0,1
2026-08-16 14:49:59,pcpBunker,0,oui,idle,0,1
2026-08-16 14:49:59,pcpDJ,0,oui,idle,0,1
2026-08-16 14:49:59,pcpKitchen,0,oui,idle,0,1
2026-08-16 14:49:59,pcpSystem,0,oui,idle,0,1
2026-08-16 14:49:59,pcpLobby,0,oui,idle,0,1
2026-08-16 14:55:00,pcpBunker,0,oui,idle,0,2
2026-08-16 14:55:00,pcpDJ,0,oui,idle,0,2
2026-08-16 14:55:00,pcpKitchen,0,oui,idle,0,2
2026-08-16 14:55:00,pcpSystem,0,oui,idle,0,2
2026-08-16 14:55:00,pcpLobby,0,oui,idle,0,2
2026-08-16 15:00:01,pcpBunker,0,oui,idle,0,2
2026-08-16 15:00:01,pcpDJ,0,oui,idle,0,2
2026-08-16 15:00:01,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:00:01,pcpSystem,0,oui,idle,0,2
2026-08-16 15:00:01,pcpLobby,0,oui,idle,0,2
2026-08-16 15:05:02,pcpBunker,0,oui,idle,0,2
2026-08-16 15:05:02,pcpDJ,0,oui,idle,0,2
2026-08-16 15:05:02,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:05:02,pcpSystem,0,oui,idle,0,2
2026-08-16 15:05:02,pcpLobby,0,oui,idle,0,2
2026-08-16 15:10:03,pcpBunker,0,oui,idle,0,2
2026-08-16 15:10:03,pcpDJ,0,oui,idle,0,2
2026-08-16 15:10:03,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:10:03,pcpSystem,0,oui,idle,0,2
2026-08-16 15:10:03,pcpLobby,0,oui,idle,0,2
2026-08-16 15:15:04,pcpBunker,0,oui,idle,0,2
2026-08-16 15:15:04,pcpDJ,0,oui,idle,0,2
2026-08-16 15:15:04,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:15:04,pcpSystem,0,oui,idle,0,2
2026-08-16 15:15:04,pcpLobby,0,oui,idle,0,2
2026-08-16 15:20:05,pcpBunker,0,oui,idle,0,2
2026-08-16 15:20:05,pcpDJ,0,oui,idle,0,2
2026-08-16 15:20:05,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:20:05,pcpSystem,0,oui,idle,0,2
2026-08-16 15:20:05,pcpLobby,0,oui,idle,0,2
2026-08-16 15:25:06,pcpBunker,0,oui,idle,0,2
2026-08-16 15:25:06,pcpDJ,0,oui,idle,0,2
2026-08-16 15:25:06,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:25:06,pcpSystem,0,oui,idle,0,2
2026-08-16 15:25:06,pcpLobby,0,oui,idle,0,2
2026-08-16 15:30:07,pcpBunker,0,oui,idle,0,2
2026-08-16 15:30:07,pcpDJ,0,oui,idle,0,2
2026-08-16 15:30:07,pcpKitchen,0,oui,idle,0,2
2026-08-16 15:30:07,pcpSystem,0,oui,idle,0,2
2026-08-16 15:30:07,pcpLobby,0,oui,idle,0,2
2026-08-16 15:35:08,pcpBunker,0,oui,playing,0,2
2026-08-16 15:35:08,pcpDJ,0,oui,playing,0,2
2026-08-16 15:35:08,pcpKitchen,0,oui,playing,0,2
2026-08-16 15:35:08,pcpSystem,0,oui,playing,0,2
2026-08-16 15:35:08,pcpLobby,0,oui,playing,0,2
2026-08-16 15:40:09,pcpBunker,0,oui,playing,0,2
2026-08-16 15:40:09,pcpDJ,0,oui,playing,0,2
2026-08-16 15:40:09,pcpKitchen,0,oui,playing,0,2
2026-08-16 15:40:09,pcpSystem,0,oui,playing,0,2
2026-08-16 15:40:09,pcpLobby,0,oui,playing,0,2
2026-08-16 15:45:11,pcpBunker,0,oui,playing,0,2
2026-08-16 15:45:11,pcpDJ,0,oui,playing,0,2
2026-08-16 15:45:11,pcpKitchen,0,oui,playing,0,2
2026-08-16 15:45:11,pcpSystem,0,oui,playing,0,2
2026-08-16 15:45:11,pcpLobby,0,oui,playing,0,2
2026-08-16 15:50:12,pcpBunker,0,oui,playing,0,2
2026-08-16 15:50:12,pcpDJ,0,oui,playing,0,2
2026-08-16 15:50:12,pcpKitchen,0,oui,playing,0,2
2026-08-16 15:50:12,pcpSystem,0,oui,playing,0,2
2026-08-16 15:50:12,pcpLobby,0,oui,playing,0,2
2026-08-16 15:55:13,pcpBunker,0,oui,playing,0,2
2026-08-16 15:55:13,pcpDJ,0,oui,playing,0,2
2026-08-16 15:55:13,pcpKitchen,0,oui,playing,0,2
2026-08-16 15:55:13,pcpSystem,0,oui,playing,0,2
2026-08-16 15:55:13,pcpLobby,0,oui,playing,0,2
2026-08-16 16:00:14,pcpBunker,0,oui,playing,0,2
2026-08-16 16:00:14,pcpDJ,0,oui,playing,0,2
2026-08-16 16:00:14,pcpKitchen,0,oui,playing,0,2
2026-08-16 16:00:14,pcpSystem,0,oui,playing,0,2
2026-08-16 16:00:14,pcpLobby,0,oui,playing,0,2
2026-08-16 16:05:15,pcpBunker,0,oui,idle,0,3
2026-08-16 16:05:15,pcpDJ,0,oui,idle,0,3
2026-08-16 16:05:15,pcpKitchen,0,oui,idle,0,3
2026-08-16 16:05:15,pcpSystem,0,oui,idle,0,3
2026-08-16 16:05:15,pcpLobby,0,oui,idle,0,3
2026-08-16 16:10:16,pcpBunker,0,oui,playing,0,3
2026-08-16 16:10:16,pcpDJ,0,oui,playing,0,3
2026-08-16 16:10:16,pcpKitchen,0,oui,playing,0,3
2026-08-16 16:10:16,pcpSystem,0,oui,playing,0,3
2026-08-16 16:10:16,pcpLobby,0,oui,playing,0,3
2026-08-16 16:15:18,pcpBunker,0,oui,idle,0,3
2026-08-16 16:15:18,pcpDJ,0,oui,idle,0,3
2026-08-16 16:15:18,pcpKitchen,0,oui,idle,0,3
2026-08-16 16:15:18,pcpSystem,0,oui,idle,0,3
2026-08-16 16:15:18,pcpLobby,0,oui,idle,0,3
2026-08-16 16:20:19,pcpBunker,0,oui,idle,0,3
2026-08-16 16:20:19,pcpDJ,0,oui,idle,0,3
2026-08-16 16:20:19,pcpKitchen,0,oui,idle,0,3
2026-08-16 16:20:19,pcpSystem,0,oui,idle,0,3
2026-08-16 16:20:19,pcpLobby,0,oui,idle,0,3
2026-08-16 16:25:20,pcpBunker,2,oui,idle,1,3
2026-08-16 16:25:20,pcpDJ,2,oui,idle,1,3
2026-08-16 16:25:20,pcpKitchen,2,oui,idle,1,3
2026-08-16 16:25:20,pcpSystem,2,oui,idle,1,3
2026-08-16 16:25:20,pcpLobby,2,oui,idle,1,3
2026-08-16 16:30:21,pcpBunker,2,oui,idle,1,3
2026-08-16 16:30:21,pcpDJ,2,oui,idle,1,3
2026-08-16 16:30:21,pcpKitchen,2,oui,idle,1,3
2026-08-16 16:30:21,pcpSystem,2,oui,idle,1,3
2026-08-16 16:30:21,pcpLobby,2,oui,idle,1,3
2026-08-16 16:35:22,pcpBunker,2,oui,idle,71,0
2026-08-16 16:35:22,pcpDJ,2,oui,idle,71,0
2026-08-16 16:35:22,pcpKitchen,2,oui,idle,71,0
2026-08-16 16:35:22,pcpSystem,2,oui,idle,71,0
2026-08-16 16:35:22,pcpLobby,2,oui,idle,71,0
2026-08-16 16:40:23,pcpBunker,2,oui,playing,1448,0
2026-08-16 16:40:23,pcpDJ,2,oui,playing,1448,0
2026-08-16 16:40:23,pcpKitchen,2,oui,playing,1448,0
2026-08-16 16:40:23,pcpSystem,2,oui,playing,1448,0
