horodatage,noeud,anomalies,connecte,flux_etat,resync_srv,fastfwd_srv
2026-08-16 18:18:47,pcpBunker,0,oui,playing,0,0
2026-08-16 18:18:47,pcpDJ,0,oui,playing,0,0
2026-08-16 18:18:47,pcpKitchen,0,oui,playing,0,0
2026-08-16 18:18:47,pcpSystem,0,oui,playing,0,0
2026-08-16 18:18:47,pcpLobby,0,oui,playing,0,0
2026-08-16 18:20:24,pcpBunker,0,oui,playing,0,0
2026-08-16 18:20:24,pcpDJ,0,oui,playing,0,0
2026-08-16 18:20:24,pcpKitchen,0,oui,playing,0,0
2026-08-16 18:20:24,pcpSystem,0,oui,playing,0,0
2026-08-16 18:20:24,pcpLobby,0,oui,playing,0,0
2026-08-16 18:25:25,pcpBunker,0,oui,playing,0,0
2026-08-16 18:25:25,pcpDJ,0,oui,playing,0,0
2026-08-16 18:25:25,pcpKitchen,0,oui,playing,0,0
2026-08-16 18:25:25,pcpSystem,0,oui,playing,0,0
2026-08-16 18:25:25,pcpLobby,0,oui,playing,0,0
2026-08-16 18:30:26,pcpBunker,0,oui,playing,0,0
2026-08-16 18:30:26,pcpDJ,0,oui,playing,0,0
2026-08-16 18:30:26,pcpKitchen,0,oui,playing,0,0
2026-08-16 18:30:26,pcpSystem,0,oui,playing,0,0
2026-08-16 18:30:26,pcpLobby,0,oui,playing,0,0
2026-08-16 18:35:27,pcpBunker,0,oui,playing,0,0
2026-08-16 18:35:27,pcpDJ,0,oui,playing,0,0
2026-08-16 18:35:27,pcpKitchen,0,oui,playing,0,0
2026-08-16 18:35:27,pcpSystem,0,oui,playing,0,0
2026-08-16 18:35:27,pcpLobby,0,oui,playing,0,0
2026-08-16 18:40:28,pcpBunker,1,oui,idle,1,0
2026-08-16 18:40:28,pcpDJ,1,oui,idle,1,0
2026-08-16 18:40:28,pcpKitchen,1,oui,idle,1,0
2026-08-16 18:40:28,pcpSystem,1,oui,idle,1,0
2026-08-16 18:40:28,pcpLobby,1,oui,idle,1,0
2026-08-16 18:45:29,pcpBunker,35,oui,playing,0,0
2026-08-16 18:45:29,pcpDJ,35,oui,playing,0,0
